,method,workers,N,delay,pi,delay_per_point
1213,multiprocessing,27,66700000,1.1733102798461914,3.0606241329068955,1.7590858768308715e-08
1214,threading,28,66700000,49.005401372909546,3.060628709409896,7.347136637617623e-07
1215,multiprocessing,28,66700000,1.1751763820648193,3.0607127674545693,1.7618836312815883e-08
1216,threading,29,66700000,49.146981954574585,3.0605296012048346,7.368363111630372e-07
1217,multiprocessing,29,66700000,1.1313986778259277,3.060873235524225,1.6962498917929952e-08
1218,threading,30,66700000,49.0146107673645,3.0606367335598197,7.348517356426462e-07
1219,multiprocessing,30,66700000,1.0854814052581787,3.0605631716810238,1.6274084036854252e-08
1220,threading,1,66700000,13.109235763549805,3.0607414998172082,1.9654026632008702e-07
1221,multiprocessing,1,66700000,13.076915979385376,3.0607045559626167,1.960557118348632e-07
1222,sequential,1,66700000,13.017522811889648,3.0609897541725046,1.9516525954857043e-07
1223,threading,2,66700000,48.831427335739136,3.060912806058256,7.321053573574083e-07
1224,multiprocessing,2,66700000,6.759977340698242,3.060709582569853,1.013489856176648e-07
1225,threading,3,66700000,47.793060302734375,3.060701438816271,7.16537635723154e-07
1226,multiprocessing,3,66700000,4.708054304122925,3.0608453278883565,7.05855218009434e-08
1227,threading,4,66700000,48.03729796409607,3.0606655272262064,7.201993697765528e-07
1228,multiprocessing,4,66700000,3.5716195106506348,3.060582827514727,5.3547518900309364e-08
1229,threading,5,66700000,47.29757118225098,3.0608015099044743,7.09109013227151e-07
1230,multiprocessing,5,66700000,2.9008445739746094,3.060911461079634,4.349092314804512e-08
1231,threading,6,66700000,48.71421265602112,3.060833021762322,7.303480158324006e-07
1232,multiprocessing,6,66700000,2.428666114807129,3.0610172366809367,3.641178582919234e-08
1233,threading,7,66700000,48.11286401748657,3.060773576558058,7.21332294115241e-07
1234,multiprocessing,7,66700000,2.089115619659424,3.0607806254391785,3.132107375801235e-08
1235,threading,8,66700000,48.21212959289551,3.0607647894410426,7.228205336266193e-07
1236,multiprocessing,8,66700000,1.8290917873382568,3.0608685737273897,2.7422665477335186e-08
1237,threading,9,66700000,48.21284222602844,3.0609244101128428,7.228312177815358e-07
1238,multiprocessing,9,66700000,1.6413097381591797,3.0606371873083433,2.4607342401187103e-08
1239,threading,10,66700000,48.771597146987915,3.0607969798307706,7.312083530283046e-07
1240,multiprocessing,10,66700000,1.5120530128479004,3.0604653399933586,2.2669460462487262e-08
1241,threading,11,66700000,48.27862334251404,3.060582140283263,7.238174414170021e-07
1242,multiprocessing,11,66700000,1.3537907600402832,3.0609216104102193,2.0296713044082206e-08
1243,threading,12,66700000,48.352373123168945,3.060889626869138,7.249231352798942e-07
1244,multiprocessing,12,66700000,1.2967431545257568,3.0607813642246433,1.9441426604584062e-08
1245,threading,13,66700000,48.17765212059021,3.060492267629427,7.223036299938562e-07
1246,multiprocessing,13,66700000,1.2114081382751465,3.060793667933848,1.8162041053600398e-08
1247,threading,14,66700000,48.56141972541809,3.0604756824984456,7.280572672476475e-07
1248,multiprocessing,14,66700000,1.14235520362854,3.060863150578774,1.7126764672092056e-08
1249,threading,15,66700000,48.347578287124634,3.0607057441104124,7.248512486825283e-07
1250,multiprocessing,15,66700000,1.0549037456512451,3.0607726808091726,1.5815648360588382e-08
1251,threading,16,66700000,48.87462401390076,3.0608782135362302,7.32752983716653e-07
1252,multiprocessing,16,66700000,1.021993637084961,3.0606593348041264,1.5322243434557136e-08
1253,threading,17,66700000,49.07102108001709,3.0607324645022107,7.356974674665231e-07
